"","text.X","text.x","emotion","polarity"
"1",1,"on shift in an east london hospital on one floor there is hope hope of the vaccine rollout on another floor th ","unknown","neutral"
"2",2,"as winds down u most diverse cabinet in history named u wh staff announced majority female u ","unknown","positive"
"3",3," norway upped the number of deaths under investigation from last week to while in germany health official ","unknown","negative"
"4",4," arizona requires appointments for covid vaccine site but some tagalongs in line are getting the shot early ","unknown","positive"
"5",5,"got my second vaccine today covid pandemic frontlineworker healthcare nurse myshot doingmypart vaccine wearyour ","unknown","positive"
"6",6," if this doesn t cause to pause for thou ","unknown","positive"
"7",7," covaxin was approved w o phase trials despite experts cautioning against such hasty approval now vaccine maker says that ","joy","negative"
"8",8," bangladesh is buying million doses of covishield vaccine from india and getting a gift of million doses from govt ","unknown","positive"
"9",9," a new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they ve had cov ","sadness","neutral"
"10",10," a new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they ve had co ","sadness","neutral"
"11",11," u f while we anxiously await our turn to get a covid vaccine wouldn t it be nice if there was a shot in the arm ","disgust","negative"
"12",12," would you support the introduction of vaccine passports as a requirement for international travel allowing only those who have ","unknown","positive"
"13",13," bangladesh is buying million doses of covishield vaccine from india and getting a gift of million doses from govt ","unknown","positive"
"14",14," just incase you thought this is all a joke though it is not nigeria is releasing money to produce local vaccine aft ","unknown","positive"
"15",15," rapid test pilot done at vancouver ltc homes bccpa the program has already identified multiple asymptomatic covid ","unknown","positive"
"16",16," as winds down u most diverse cabinet in history named u wh staff announced majority female u americ ","unknown","positive"
"17",17," un provides technical assistance to india in mammoth covid vaccine rollout ","unknown","positive"
"18",18,"a new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if ","sadness","neutral"
"19",19," a friend who is a nurse had covid months ago she was told to wait month ","joy","positive"
"20",20,"rep rashida tlaib claims israel is a racist state for excluding palestinians from covid vaccine rollout ","unknown","neutral"
"21",21," dr nathan chomilo is convinced that the covid vaccine is safe and effective but he also doesn t hesitate to tell his pati ","unknown","positive"
"22",22," took the covishield vaccine as a frontline healthcare worker i join my colleagues in the medical field in taking the v ","unknown","positive"
"23",23," for you can fly first class or private to dubai get a month s vacation two shots of the pfizer vaccine billiona ","sadness","negative"
"24",24," joins the growing movement of lawmakers advocates health experts and celebrities calling on ","unknown","positive"
"25",25,"the number of doses administered has hit as of tuesday afternoon to date vaccine doses have been ","unknown","positive"
"26",26," administration of vaccines will be managed very carefully through registration cards and scanners health department says ht ","unknown","positive"
"27",27," nearly million doses of covid vaccine have been administered to people in wealthy countries just doses have ","unknown","positive"
"28",28," u f while we anxiously await our turn to get a covid vaccine wouldn t it be nice if there was a shot in the arm ","disgust","negative"
"29",29," would you support the introduction of vaccine passports as a requirement for international travel allowing only those who have ","unknown","positive"
"30",30," the wisconsin ex pharmacist suspected of intentionally destroying more than covid vaccine doses was formally charged w ","unknown","positive"
"31",31," u f while we anxiously await our turn to get a covid vaccine wouldn t it be nice if there was a shot in the arm ","disgust","negative"
"32",32," hour vaccination sites will open in england by the end of the january as the country presses ahead with the biggest vac ","unknown","positive"
"33",33," i don t understand why national government keeps invoking non disclosure agreements on the contract prices of covid vacci ","surprise","neutral"
"34",34,"got my first dose of the covid vaccine and my arm is unbearably sore u f ","anger","negative"
"35",35," a new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they ve had cov ","sadness","neutral"
"36",36," siam bioscience may be the best placed company to make a covid vaccine at scale in thailand but the government has given few ","unknown","positive"
"37",37," there is no evidence that the covid vaccine will affect fertility and infection itself does not seem to have affected fer ","joy","positive"
"38",38," michigan officials said doses of the moderna covid vaccine the state was receiving are ruined and unusable ","unknown","positive"
"39",39," doh broward is currently in the onboarding process for the state covid vaccine appointment scheduling system we w ","unknown","positive"
"40",40," after the introduction of covid ","unknown","positive"
"41",41," bangladesh is buying million doses of covishield vaccine from india and getting a gift of million doses from govt ","unknown","positive"
"42",42," a new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they ve had cov ","sadness","neutral"
"43",43," anonymous have raised alarm that some nigerian politicians have collected huge amount of money from globalist promoters of ","fear","negative"
"44",44," a leading islamic scholar is calling on muslims to ignore disinformation campaigns aimed at discouraging them from taking the ","unknown","negative"
"45",45," la vaccine portal was just updated to allow for anyone to get an appt possibly as early as today according to la mayor s ","sadness","neutral"
"46",46," bangladesh is buying million doses of covishield vaccine from india and getting a gift of million doses from govt ","unknown","positive"
"47",47," this is not a new observation as far as the original strain itself is concerned a second attack ","unknown","negative"
"48",48," the number of new yorkers hospitalized with covid tops for the first time since may nearly people died on mo ","unknown","positive"
"49",49," un assists india covid vaccine rollout dy un assists india s mammoth covid vaccine rollout ","unknown","positive"
"50",50," took the covishield vaccine as a frontline healthcare worker i join my colleagues in the medical field in taking the v ","unknown","positive"
"51",51,"hope you like shots and can afford them it s looking more and more likely you ll need a covid shot every year bc i ","joy","positive"
"52",52," all pharmacies should to be able to play a part in the uk s covid vaccine programme sign the petition ","unknown","positive"
"53",53," so covid vaccination has its own app tech infra management cowin thread to keep a watch on this it is as important or ","unknown","negative"
"54",54,"morality florida one morality ruling is line jumping to get the limited vaccine for covid is immoral the ","sadness","negative"
"55",55," bangladesh is buying million doses of covishield vaccine from india and getting a gift of million doses from govt ","unknown","positive"
"56",56," fyi your vaccine information sign up page returns an error message ","unknown","negative"
